"species_name"	"Major_tax"	"Tax"	"CPA_count"	"CPA_binary"	"NhaB_count"	"NhaB_binary"	"NhaC_count"	"NhaC_binary"	"NhaD_count"	"NhaD_binary"
"23"	"Arabidopsis_thaliana"	"Viridiplantae"	"Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Camelineae;Arabidopsis"	61	1	0	0	0	0	4	1
"24"	"Aspergillus_nidulans"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillussubgen.Nidulantes"	7	1	0	0	0	0	0	0
"25"	"Aurantiochytrium_limacinum_ATCC_MYA-1381"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae;Aurantiochytrium"	116	1	0	0	29	1	75	1
"26"	"Aureococcus_anophagefferens_CCMP1984"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae"	11	1	0	0	1	1	2	1
"27"	"Babesia_bigemina"	"Alveolata"	"Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia"	1	1	0	0	0	0	0	0
"28"	"Basidiobolus_meristosporus_CBS"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Zoopagomycota;Entomophthoromycotina;Basidiobolomycetes;Basidiobolales;Basidiobolaceae;Basidiobolus;Basidiobolusmeristosporus"	145	1	0	0	0	0	91	1
"29"	"Batrachochytrium_dendrobatidis_JAM81"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Chytridiomycota;Chytridiomycotaincertaesedis;Chytridiomycetes;Rhizophydiales;Rhizophydialesincertaesedis"	7	1	0	0	0	0	0	0
"30"	"Bigelowiella_natans"	"Rhizaria"	"Eukaryota;Sar;Rhizaria;Cercozoa;Chlorarachniophyceae;Bigelowiella"	11	1	0	0	0	0	1	1
"31"	"Biomphalaria_glabrata"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Heterobranchia;Euthyneura;Panpulmonata;Hygrophila;Lymnaeoidea;Planorbidae;Biomphalaria"	43	1	0	0	0	0	6	1
"32"	"Blastocladiella_britannica_JEL711"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella"	5	1	0	0	0	0	2	1
"33"	"Blastocystis_hominis"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Opalinata;Blastocystidae;Blastocystis"	1	1	0	0	5	1	1	1
"34"	"Bodo_saltans"	"Excavata"	"Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Eubodonida;Bodonidae;Bodo"	6	1	0	0	0	0	4	1
"35"	"Bombyx_mori"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Obtectomera;Bombycoidea;Bombycidae;Bombycinae;Bombyx"	4	1	0	0	0	0	2	1
"36"	"Branchiostoma_belcheri"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Cephalochordata;Leptocardii;Amphioxiformes;Branchiostomatidae;Branchiostoma"	9	1	0	0	0	0	0	0
"37"	"Brugia_malayi"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Spirurina;Spiruromorpha;Filarioidea;Onchocercidae;Brugia"	8	1	0	0	0	0	0	0
"38"	"Caenorhabditis_elegans"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Nematoda;Chromadorea;Rhabditida;Rhabditina;Rhabditomorpha;Rhabditoidea;Rhabditidae;Peloderinae;Caenorhabditis"	19	1	0	0	0	0	0	0
"39"	"Cafeteria_roenbergensis"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Bicosoecida;Cafeteriaceae;Cafeteria"	9	1	0	0	0	0	0	0
"40"	"Callorhinus_ursinus"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Pinnipedia;Otariidae;Callorhinus"	34	1	0	0	0	0	1	1
"41"	"Candida_albicans_SC5314"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Candida/Lodderomycesclade;Candida"	2	1	0	0	0	0	0	0
"42"	"Capitella_teleta"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Polychaeta;Sedentaria;Scolecida;Capitellidae;Capitella"	6	1	0	0	2	1	1	1
"43"	"Capsaspora_owczarzaki"	"Filasterea"	"Eukaryota;Opisthokonta;Filasterea;Capsaspora"	5	1	0	0	1	1	3	1
"44"	"Carpediemonas_membranifera"	"Metamonada"	"Eukaryota;Metamonada;Fornicata;Carpediemonas-likeorganisms;Carpediemonas"	6	1	0	0	0	0	2	1
"45"	"Catenaria_anguillulae_PL171"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Catenariaceae;Catenaria;Catenariaanguillulae"	4	1	0	0	0	0	0	0
"46"	"Caulerpa_lentillifera"	"Viridiplantae"	"Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;TCBDclade;Bryopsidales;Halimedineae;Caulerpaceae;Caulerpa"	5	1	0	0	0	0	1	1
"47"	"Chara_braunii"	"Viridiplantae"	"Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Charophyceae;Charales;Characeae;Chara"	14	1	0	0	0	0	0	0
"48"	"Chironomus_tepperi"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Nematocera;Culicomorpha;Chironomoidea;Chironomidae;Chironominae;Chironomini;Chironomus;Chironomus"	14	1	0	0	0	0	4	1
"49"	"Chlamydomonas_reinhardtii"	"Viridiplantae"	"Eukaryota;Viridiplantae;Chlorophyta;corechlorophytes;Chlorophyceae;CSclade;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas"	11	1	0	0	0	0	7	1
"50"	"Chlorella_variabilis"	"Viridiplantae"	"Eukaryota;Viridiplantae;Chlorophyta;corechlorophytes;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorellaclade;Chlorella"	9	1	0	0	0	0	1	1
"51"	"Chondrus_crispus"	"Rhodophyta"	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus"	6	1	0	0	0	0	2	1
"52"	"Chroomonas_mesostigmatica_CCMP1168"	"Cryptophyta"	"Eukaryota;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Chroomonas;Chroomonasmesostigmatica"	1	1	0	0	0	0	0	0
"53"	"Chrysochromulina_tobinii"	"Haptophyta"	"Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina"	11	1	0	0	1	1	3	1
"54"	"Ciona_intestinalis"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Tunicata;Ascidiacea;Phlebobranchia;Cionidae;Ciona"	15	1	0	0	0	0	0	0
"55"	"Cladosiphon_okamuranus"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Ochrophyta;PXclade;Phaeophyceae;Ectocarpales;Chordariaceae;Cladosiphon"	31	1	1	1	5	1	13	1
"56"	"Coccomyxa_subellipsoidea_C-169"	"Viridiplantae"	"Eukaryota;Viridiplantae;Chlorophyta;corechlorophytes;Trebouxiophyceae;Trebouxiophyceaeincertaesedis;Elliptochlorisclade;Coccomyxa;Coccomyxasubellipsoidea"	12	1	0	0	0	0	1	1
"57"	"Coemansia_reversa_NRRL_1564"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Zoopagomycota;Kickxellomycotina;Kickxellomycetes;Kickxellales;Kickxellaceae;Coemansia;Coemansiareversa"	4	1	0	0	0	0	2	1
"58"	"Columba_livia"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Columbimorphae;Columbiformes;Columbidae;Columba"	23	1	0	0	0	0	2	1
"59"	"Conidiobolus_coronatus_NRLL_28638"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Ancylistaceae;Conidiobolus"	3	1	0	0	3	1	1	1
"60"	"Corticum_candelabrum"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;Corticium"	7	1	0	0	0	0	4	1
"61"	"Crassostrea_virginica"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Ostreida;Ostreoidea;Ostreidae;Crassostrea"	31	1	0	0	0	0	1	1
"62"	"Cryptococcus_neoformans"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcusneoformansspeciescomplex"	4	1	0	0	0	0	2	1
"63"	"Cryptomonas_paramecium"	"Cryptophyta"	"Eukaryota;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas"	1	1	0	0	0	0	0	0
"64"	"Cryptosporidium_muris_RN66"	"Alveolata"	"Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Cryptosporidiidae;Cryptosporidium;Cryptosporidiummuris"	3	1	0	0	0	0	0	0
"65"	"Cyanidioschyzon_merolae_strain_10D"	"Rhodophyta"	"Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Cyanidioschyzon"	6	1	0	0	0	0	3	1
"66"	"Danio_rerio"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cyprinoidei;Danionidae;Danioninae;Danio"	22	1	0	0	0	0	3	1
"67"	"Daphnia_magna"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Branchiopoda;Phyllopoda;Diplostraca;Cladocera;Anomopoda;Daphniidae;Daphnia"	14	1	0	0	0	0	0	0
"68"	"Diacronema_lutheri"	"Hapophyta"	"Eukaryota;Haptista;Haptophyta;Pavlovales;Pavlovaceae;Diacronema"	15	1	0	0	1	1	4	1
"69"	"Dictyostelium_discoideum_AX4"	"Amoebozoa"	"Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium"	4	1	0	0	0	0	1	1
"70"	"Diplonema_papillatum"	"Discoba"	"Eukaryota;Discoba;Euglenozoa;Diplonemea;Diplonemidae;Diplonema"	20	1	0	0	1	1	5	1
"71"	"Drosophila_melanogaster"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;melanogastergroup;melanogastersubgroup"	23	1	0	0	0	0	14	1
"72"	"Dunaliella_salina"	"Viridiplantae"	"Eukaryota;Viridiplantae;Chlorophyta;corechlorophytes;Chlorophyceae;CSclade;Chlamydomonadales;Dunaliellaceae;Dunaliella"	5	1	0	0	0	0	4	1
"73"	"Echinococcus_multilocularis"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Cestoda;Eucestoda;Cyclophyllidea;Taeniidae;Echinococcus"	5	1	0	0	0	0	0	0
"74"	"Ectocarpus_siliculosus"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Ochrophyta;PXclade;Phaeophyceae;Ectocarpales;Ectocarpaceae;Ectocarpus"	9	1	0	0	1	1	4	1
"75"	"Edhazardia_aedis"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Microsporidia;Microsporidiaincertaesedis;Culicosporidae;Edhazardia;Edhazardiaaedis"	2	1	0	0	0	0	0	0
"76"	"Emiliania_huxleyi"	"Hapophyta"	"Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania"	18	1	0	0	4	1	5	1
"77"	"Encephalitozoon_cuniculi_GB-M1"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Microsporidia;Apansporoblastina;Unikaryonidae;Encephalitozoon"	1	1	0	0	0	0	0	0
"78"	"Entamoeba_histolytica_HM-1:IMSS"	"Amoebozoa"	"Eukaryota;Amoebozoa;Evosea;Archamoebae;Mastigamoebida;Entamoebidae;Entamoeba"	2	1	0	0	0	0	5	1
"79"	"Fonticula_alba"	"Rotosphaerida"	"Eukaryota;Opisthokonta;Rotosphaerida;Fonticulaceae;Fonticula"	0	0	0	0	0	0	2	1
"80"	"Fragilariopsis_cylindrus_CCMP_1102"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyceae;Bacillariophycidae;Bacillariales;Bacillariaceae;Fragilariopsis"	12	1	0	0	1	1	3	1
"81"	"Fusarium_oxysporum_f._sp._lycopersici_4287"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusariumoxysporumspeciescomplex;Fusariumoxysporum;Fusariumoxysporumf.sp.lycopersici"	20	1	0	0	0	0	0	0
"82"	"Galdieria_sulphuraria"	"Rhodophyta"	"Eukaryota;Rhodophyta;Bangiophyceae;Galdieriales;Galdieriaceae;Galdieria"	8	1	0	0	0	0	2	1
"83"	"Gefionella_okellyi_strain_249"	"Malawimonada"	"Eukaryota;Malawimonadida;Malawimonadidae;Gefionella"	9	1	0	0	0	0	3	1
"84"	"Giardia_intestinalis"	"Metamonada"	"Eukaryota;Metamonada;Fornicata;Diplomonadida;Hexamitidae;Giardiinae;Giardia"	1	1	0	0	0	0	0	0
"85"	"Ginkgo_biloba"	"Viridiplantae"	"Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Acrogymnospermae;Ginkgoopsida;Ginkgoidae;Ginkgoales;Ginkgoaceae;Ginkgo"	6	1	0	0	0	0	1	1
"86"	"Glossina_fuscipes"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Calyptratae;Hippoboscoidea;Glossinidae;Glossina;Nemorhina"	32	1	0	0	0	0	7	1
"87"	"Gonapodya_prolifera_JEL478"	"Fungi"	"Eukaryota;Opisthokonta;Fungi;Fungiincertaesedis;Chytridiomycota;Chytridiomycotaincertaesedis;Monoblepharidomycetes;Monoblepharidales;Gonapodyaceae;Gonapodya"	6	1	0	0	0	0	3	1
"88"	"Gracilariopsis_chorda"	"Rhodophyta"	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gracilariales;Gracilariaceae;Gracilariopsis"	7	1	0	0	0	0	4	1
"89"	"Gregarina_niphandrodes"	"Alveolata"	"Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Gregarinidae;Gregarina"	4	1	0	0	0	0	0	0
"90"	"Guillardia_theta_CCMP2712"	"Cryptophyta"	"Eukaryota;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Guillardia;Guillardiatheta"	9	1	0	0	1	1	7	1
"91"	"Gyrodactylus_salaris"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Platyhelminthes;Monogenea;Monopisthocotylea;Gyrodactylidea;Gyrodactylidae;Gyrodactylus"	4	1	0	0	0	0	0	0
"92"	"Halichondria_panicea"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Suberitida;Halichondriidae;Halichondria;Halichondria"	8	1	0	0	1	1	4	1
"93"	"Helobdella_robusta"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Clitellata;Hirudinea;Rhynchobdellida;Glossiphoniidae;Helobdella"	4	1	0	0	0	0	0	0
"94"	"Hemiselmis_andersenii"	"Cryptophyta"	"Eukaryota;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis"	1	1	0	0	0	0	0	0
"95"	"Heterostelium_album_PN500"	"Amoebozoa"	"Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Acytosteliales;Acytosteliaceae;Heterostelium;Heterosteliumalbum"	4	1	0	0	0	0	0	0
"96"	"Homo_sapiens"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Catarrhini;Hominoidea;Hominidae;Homininae;Homo"	100	1	0	0	0	0	28	1
"97"	"Hondaea_fermentalgiana"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae;Hondaea"	10	1	0	0	1	1	5	1
"98"	"Hordeum_vulgare"	"Viridiplantae"	"Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOPclade;Pooideae;Triticodae;Triticeae;Hordeinae;Hordeum"	24	1	0	0	0	0	5	1
"99"	"Hyalella_azteca"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Amphipoda;Senticaudata;Talitrida;Talitroidea;Hyalellidae;Hyalella"	11	1	0	0	0	0	0	0
"100"	"Hyaloperonospora_brassicae"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporales;Peronosporaceae;Hyaloperonospora"	5	1	0	0	1	1	2	1
"101"	"Hydra_vulgaris"	"Metazoa"	"Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Aplanulata;Hydridae;Hydra"	13	1	0	0	0	0	0	0
"102"	"Hyphochytrium_catenoides"	"Stramenopiles"	"Eukaryota;Sar;Stramenopiles;Hyphochytriomycetes;Hyphochytriaceae;Hyphochytrium"	5	1	0	0	1	1	4	1
