Location	Category
activated sludge from hade_18-q3-r52-61	Activated sludge
activated sludge from hirt_18-q3-r61-65	Activated sludge
activated sludge from hjor_18-q3-r7-51	Activated sludge
activated sludge from hong kong shatin wastewater treatment plant	Activated sludge
activated sludge from industrial waste water	Activated sludge
activated sludge from industrial wastewater treatment plant	Activated sludge
activated sludge from kalu_18-q3-r12-55	Activated sludge
activated sludge from lab-scale ebpr bioreactor; wastewater treatment plant	Activated sludge
activated sludge from lab-scale wastewater treatment plant	Activated sludge
activated sludge from linkou wastewater treatment plant	Activated sludge
activated sludge from lyne_18-q3-r50-59	Activated sludge
activated sludge from mari_18-q3-r65-66	Activated sludge
activated sludge from odne_18-q3-r46-58	Activated sludge
activated sludge from odnw_18-q3-r42-56	Activated sludge
activated sludge from rand_18-q3-r56-63	Activated sludge
activated sludge from ribe_18-q3-r11-54	Activated sludge
activated sludge from sewage treatment plant	Activated sludge
activated sludge from shatin waste water treatment plant collected monthly from 2007 through 2015	Activated sludge
activated sludge from skiv_18-q3-r9-52	Activated sludge
activated sludge from vibo_18-q3-r45-57	Activated sludge
activated sludge from viby_18-q3-r106-67	Activated sludge
activated sludge from wastewater treatment plant	Activated sludge
activated sludge from wastewater treatment reactor	Activated sludge
activated sludge from wenshan wastewater treatment plant	Activated sludge
activated sludge in a pesticide factory	Activated sludge
activated sludge of a sewage purification system	Activated sludge
activated sludge of iahd bioreactor	Activated sludge
activated sludge of kraft-pulp mill effluents	Activated sludge
activated sludge of the wwtp in hamburg-dradenau (germany)	Activated sludge
activated sludge of wastewater treatment plant	Activated sludge
activated sludge of wastewater treatment plants	Activated sludge
activated sludge plant	Activated sludge
activated sludge reactor flocs	Activated sludge
activated sludge sample	Activated sludge
activated sludge sample of wastewater treatment plant in hamburg	Activated sludge
activated sludge samples	Activated sludge
activated sludge was sampled from two; 4-l enhanced biological phosphorus removal (ebpr) sequencing batch reactors seeded from thornside wastewater treatment plant; queensland	Activated sludge
activated sludge with ibuprofen degradation capacity	Activated sludge
activated sludge; wastewater treatment plant	Activated sludge
anammox biofilm in wastewater treatment plant	Activated sludge
anammox granular sludge freshwater column reactor	Activated sludge
anammox granule sludge	Activated sludge
anammox marine column reactor biofilm on non-woven sheet	Activated sludge
anammox reactor	Activated sludge
anammox reactor granules	Activated sludge
anammox sludge	Activated sludge
anammox sludge collected from membrane bioreactor	Activated sludge
isolated from activated sludge collected at the gold bar wastewater treatment facility	Activated sludge
isolated from activated-sludge plants	Activated sludge
laboratory activated sludge	Activated sludge
municipal mesophilic anaerobic sewage sludge digester	Activated sludge
municipal sewage	Activated sludge
municipal sewage sludge	Activated sludge
municipal waste water treatment plant; activated sewage sludge	Activated sludge
mural paintings	Activated sludge
active sludge	Activated sludge
actived sludge	Activated sludge
anaerobic activated sludge of molasses wastewater in a continuous stirred-tank reactor	Activated sludge
anaerobic digested sludge	Activated sludge
anaerobic digester - thermal hydrolysis pre-treatment sludge	Activated sludge
anaerobic digester - waste activated sludge	Activated sludge
anaerobic digester sludge	Activated sludge
anaerobic digestion sludge	Activated sludge
anaerobic granular sludge of a pilot-scale uasb reacter fed with acetate and an excess of sulfate	Activated sludge
anaerobic granular sludge; thermophilic uasb reactor	Activated sludge
anaerobic sewer sludge	Activated sludge
anaerobic sludge	Activated sludge
anaerobic sludge [envo:00002129]	Activated sludge
anaerobic sludge from kecskemt biogas plant	Activated sludge
anaerobic sludge from szeged biogas plant	Activated sludge
anaerobic sludge from szeged municipal wastewater plant s biogas plant biogas plant	Activated sludge
bioreactor sludge	Activated sludge
foam on activated sludge	Activated sludge
foam on the surface of aeration tanks in an activated-sludge sewage-treatment plant	Activated sludge
foam on the surface of aeration tanks in an activated-sludge-treatment plant	Activated sludge
foam sample taken from an activated sludge wastewater treatment plant	Activated sludge
methanogenic sludge	Activated sludge
methanogenic sludge of a cellulose-degrading bioreactor	Activated sludge
methanogenic sludge samples were taken from a full-scale upflow anaerobic sludge blanket (uasb) reactor treating a high-strength organic wastewater discharged from a food-processing factory	Activated sludge
methanogenic sludge treating industrial wastewater	Activated sludge
sludge from anammox bioreactor	Activated sludge
35 sequencing batch reactor activited sludge day 294	Activated sludge
30 degree sequencing batch reactor activited sludge day 215	Activated sludge
30 degree sequencing batch reactor activited sludge day 315	Activated sludge
30 sequencing batch reactor activited sludge day 215	Activated sludge
30 sequencing batch reactor activited sludge day 294	Activated sludge
35 degree sequencing batch reactor activited sludge day 315	Activated sludge
activited mud	Activated sludge
enrichment of activated sludge from daejeon wwtp	Activated sludge
flocculating fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: no molasses with increasing thiocyanate	Activated sludge
full-scale anaerobic digester operated by the champaign-urbana sanitary district treating a mixture of municipal and industrial waste activated sludge and municipal sewage	Activated sludge
wastewater activated sludge	Activated sludge
wastewater sludge anaerobic digester phosphite (dpo) enrichment	Activated sludge
wastewater sludge from a upflow anaerobic sludge blanket reactor	Activated sludge
microbial consortium containing achromobacter denitrificans pr1 and leucobacter sp.; enrichment cultured inoculated with activated sludge	Activated sludge
aerobic activated sludge	Activated sludge
aerobic granular sludge	Activated sludge
aerobic granular sludge of a lab scale sequencing batch reactor treating synthetic wastewater	Activated sludge
aerobic granular sludge sequencing batch reactor fed with glycerol; inoculum derived from raw wastewater	Activated sludge
biogas sludge	Activated sludge
biogas slurry	Activated sludge
biogas slurry samples from a large-scale anaerobic digester	Activated sludge
coking wastewater activated sludge	Activated sludge
continuous bioreactor no_4111 inoculated with denitrifying sludge is constantly fed with nitric oxide and formate	Activated sludge
continuous bioreactor no_5109 inoculated with denitrifying sludge is constantly fed with nitric oxide and formate	Activated sludge
mixed liquor from activated sludge; highly enriched sample containing a single organism selected through fish-facs and genomic binning	Activated sludge
biofilm fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate	Activated sludge
biofilm fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate and no molasses at 250 mg/l thiocyanate	Activated sludge
biofilm fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate until 250 mg/l maintanence	Activated sludge
biofilm fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: molasses with increasing thiocyanate until 250 mg/l maintanence and no molasses	Activated sludge
biofilm fraction from bioreactor innoculated with activated sludge tailings effluent remediation (aster); culture conditions: no molasses with increasing thiocyanate	Activated sludge
sludge	Activated sludge
sludge envo:00002044	Activated sludge
sludge granules from sugar-processing plant	Activated sludge
sludge of an anaerobic digestion reactor	Activated sludge
sludge sample	Activated sludge
sludge sediment from agricultural chemical plant	Activated sludge
sluge	Activated sludge
sucralose(tgs)-degrading consortia seeded with activate sludge sampled from 2 local wwtps	Activated sludge
anoxic ace-degrading consortia enriched using acesulfame as the sole carbon source with nitrate as the electron acceptor in anaerobic condition; seeded with activated sludge sampled from sha tin wwtps	Activated sludge
enrichment reactor seeded with activated sludge	Activated sludge
partial-nitration anammox reactor sludge sample	Activated sludge
ace-degrading consortia seeded with activated sludge sampled from 6 local waste water treatment plants (wwtps)	Activated sludge
air	Air
air condition	Air
air conditioner	Air
air conditioner condensate drain pipe	Air
air conditioner condensate pipe	Air
air conditioner filters	Air
air conditioning system	Air
air filter	Air
air filter debris	Air
air from cave	Air
air in a school dining room	Air
air in sports field	Air
air in the chapel  virgikapelle	Air
air of a duck barn	Air
air of cave	Air
air sample	Air
air sample collected in ardales cave	Air
air sample from hospital environment	Air
air tube of royal python	Air
airborne dust in a cattle barn	Air
laboratory air	Air
outdoor air	Air
outdoor built environment	Air
aerosol (pm2.5)	Air
bath room air	Air
living room air	Air
urban air and municipal landfill sites	Air
dust	Air
dust collection of the indoor air	Air
dust collector	Air
dust collector of pigpen	Air
dust from solar panel surface	Air
indoor dust from athletic faciility	Air
indoor dust from athletic faciility gym	Air
indoor dust from athletic faciility hallway	Air
indoor dust from athletic facility	Air
indoor dust samples	Air
indoor environment	Air
cryogenic tubes used for collecting air samples from high altitudes	Air
automobile air conditional evaporator	Air
automobile air-conditioning evaporator	Air
automotive air conditioning system	Air
bioaerosol	Air
bioaerosols from e-waste industrial zone	Air
bioaerosols from garbage station	Air
contaminated air [envo:01000676]	Air
stratosphere at an altitude of 41.4 km	Air
car air conditioner evaporation fin	Air
stratosphere	Air
subaerial and terrestrial within greenhouses	Air
high-altitude air sample	Air
hepa air filter	Air
microbial aerosol in a electronic waste dismantling site	Air
air sac of a pipped embryo	Animal
air sacs	Animal
airway	Animal
airways	Animal
airways; nasal	Animal
alar crease swab	Animal
cerebral spinal fluid (csf)	Animal
cerebrospinal fluid	Animal
cerivx	Animal
cervical adenitis	Animal
cervical lymph node	Animal
cf lung	Animal
cf maxillary sinus	Animal
cf patient	Animal
cf sputum	Animal
channel catfish	Animal
cod	Animal
eye	Animal
eye swab	Animal
face mask	Animal
facial wound	Animal
feather waste from poultry processing plant	Animal
gall blader	Animal
gallbladder	Animal
gelatinous salpe	Animal
genital swab	Animal
genital tract	Animal
gill	Animal
gill chamber	Animal
gill chamber rimicaris exoculata metagenome	Animal
gill from hydrothermal vent	Animal
gill sample from 2 different clams	Animal
gill tissue	Animal
gill tissue of adult individuals collected in thalassia testudinum seagrass beds on ilet cochon	Animal
gill tissue of bathymodiolus japonicus	Animal
gill tissue of clam	Animal
gill tissue; hydrothermal vent	Animal
gills	Animal
gills from mollusc collected from dive alvin 3710	Animal
gills from mollusc collected from dive tiburon 406	Animal
gills from mollusc collected from dive tiburon 548	Animal
gills from mollusc collected from dive ventana 2555	Animal
gills of farmed rainbow trout	Animal
gills of lemon sole	Animal
gills of salmo salar from freshwater fishfarm in ireland	Animal
gills of skate	Animal
goat	Animal
guineapig1	Animal
guineapig6	Animal
guineapig7	Animal
guineapig8	Animal
gutless worms collected in the mediterranean sea; off the coast of capo di	Animal
head	Animal
head of leptocephalus larvae of the japanese eel	Animal
head of the ant	Animal
heads	Animal
health care equipment surface	Animal
healthy adult 3c	Animal
healthy human	Animal
healthy infant urine	Animal
healthy pacfiic oyster larvae	Animal
healthy skin swab	Animal
healthy thoroughbred racehorse	Animal
healty doner	Animal
heart	Animal
honeycomb	Animal
horse urine	Animal
host blood	Animal
host s whole body	Animal
human	Animal
human (sputum)	Animal
human blood	Animal
human blood culture	Animal
human blood sample	Animal
human blood; chronic pyelonephritis; 64-yr-old man	Animal
human cervix	Animal
human clinical osteo-articular sample	Animal
human clinical sample (cystis fibrosis patient)	Animal
human corneal tissue	Animal
human cyst (55 year-old patient)	Animal
human duodenal aspirate	Animal
human ear	Animal
human intestinal content	Animal
human leg ulcer	Animal
human liposarcoma pus	Animal
human metabolite	Animal
human milk from spanish woman	Animal
human nasopharynx	Animal
human periodontal pocket	Animal
human sample	Animal
human septic tank	Animal
human skin	Animal
human skin metagenome	Animal
human skin swab	Animal
human sputum	Animal
human sputum; cystic fibrosis patient	Animal
human stool	Animal
human ulcer clinical sample	Animal
human urine	Animal
human vagina	Animal
human wound	Animal
human wound obtained from dog bite	Animal
japanese horse mackerel (trachurus japonicus)	Animal
jellyfish	Animal
kidney abscess	Animal
kidney of a greater white-toothed shrew	Animal
knee wound	Animal
largemouth bass	Animal
larva tissue	Animal
larvae	Animal
larvae developed in green  suri  olives	Animal
larvae of insect	Animal
larval galleries created by agrilus biguttatus	Animal
leech mucosal secretions	Animal
left carpal joint specimen	Animal
leg abscess	Animal
leg wound	Animal
lice collected 2009 through 2017 from pusa hispida saimensis	Animal
lice from fringilla coelebs morelatti	Animal
lice from merops apiaster	Animal
louse from fur of tamias alpinus	Animal
louse from fur of tamias amoenus	Animal
louse from fur of tamias cinereicollis	Animal
louse from fur of tamias merriami	Animal
louse from fur of tamias minimus	Animal
louse from fur of tamias townsendii	Animal
marine fish intestine	Animal
marine fish skin	Animal
marine invertebrate	Animal
marine mammal	Animal
marmot respiratory tract	Animal
marmota himalayana	Animal
mastitic milk	Animal
mastomys erythroleucus blood	Animal
mealworm	Animal
meat	Animal
meat ant	Animal
meat scraps	Animal
medical leech homogenate	Animal
medical specimen	Animal
meibomian gland content	Animal
meibomian gland secretions	Animal
mucus	Animal
mud dauber wasp nest	Animal
murine leukaemia tissue culture cell line	Animal
muscle of antarctic fish	Animal
mushroom	Animal
mushroom beds	Animal
mushroom surface	Animal
mussel	Animal
mussels	Animal
mycetoma lesion	Animal
mycetoma of the thorax with dissemination to the lungs	Animal
mycetoma on foot	Animal
nail feet smear	Animal
nasal	Animal
nasal and infraorbital sinuses	Animal
nasal cavity	Animal
nasal cavity of a healthy goat	Animal
nasal lavage fluid	Animal
nasal mucosa of a diver	Animal
nasal passages	Animal
nasal swab	Animal
nasopharyngeal swab	Animal
nasopharynx	Animal
navel	Animal
necropsy lung; liver and kidney tissue	Animal
nematode	Animal
nematode community	Animal
nematode parasites found in wild caught spelobia sp.	Animal
nematodes from soil samples	Animal
nematodes in the environment	Animal
nest material	Animal
nest material from social spider stegodyphus dumicola	Animal
nose	Animal
nose swab	Animal
orbital abscess post-eye removal	Animal
oriental cockroach	Animal
osteoarticular infection	Animal
other abscess	Animal
outbreak of hospital infection caused by contaminated autoclave fluids	Animal
ovaries	Animal
ovaries of host insects infected with the bacterial endosymbiont	Animal
ovary	Animal
ovary from adult female	Animal
oyster	Animal
oyster hemolymph	Animal
oyster shells mixed with brown algae	Animal
oyster;cultured off spanish mediterranean coast; vinaroz	Animal
oysters; cultured off spanish mediterranean coast	Animal
oysters; cultured off spanish mediterranean coast; vinaroz	Animal
oysters; cultured off the spanish mediterranean coast	Animal
patient	Animal
patient blood culture	Animal
patient blood culture; human wound; cranian	Animal
patient eye swab	Animal
patient sputum	Animal
patient with dfu	Animal
patient with pneumonia	Animal
patient with submandibular mycetoma	Animal
pelvic wound	Animal
penguin (beak)	Animal
penguin (cloaca)	Animal
penis	Animal
phallus	Animal
phallus lymph	Animal
pig	Animal
pig caecum	Animal
pig cecal mucosa	Animal
pig environment	Animal
pig skin	Animal
pig with catarrhal pneumonia	Animal
pig with exfoliative dermatitis	Animal
pill bugs from backyard	Animal
placenta	Animal
placenta; aborted fetus	Animal
porcine tonsil microbiota	Animal
pork	Animal
porpoise	Animal
puffer fish	Animal
puffer fish skin	Animal
puffer skin	Animal
rabbit	Animal
rabbit liver	Animal
rabbit tick	Animal
rabbit; caecal	Animal
rattus rattus	Animal
red-shouldered hawk	Animal
reduvid bug	Animal
respiratory	Animal
respiratory specimen	Animal
respiratory tract	Animal
respiratory tract (endotrachea)	Animal
respiratory tract exudate	Animal
respiratory tract of healthy individual	Animal
respiratory tract of human patient with bronchitis	Animal
respiratory tract of marmot	Animal
respiratory tracts	Animal
right rear gland	Animal
saliva of a healthy person	Animal
saliva of oral squamous cell carcinoma patient	Animal
saliva sample	Animal
salmo salar	Animal
salmon farm	Animal
salmon gills from a freshwater fish	Animal
scabs	Animal
scallop	Animal
scallop larva	Animal
scallop larvae	Animal
semen	Animal
semen specimen	Animal
semen; genitourinary infection	Animal
shrimp gill	Animal
shrimp larviculture water	Animal
shrimp pond	Animal
shrimp pool	Animal
skin	Animal
skin biopsy	Animal
skin from ulcerative lesion of bovine foot infected with digital dermatitis	Animal
skin lesion	Animal
skin lesions; spleen; liver and lungs of nine opossums	Animal
skin mucus	Animal
skin of a pig	Animal
skin of chicken	Animal
skin of horse	Animal
skin of irish thoroughbred horse	Animal
skin of skate	Animal
skin of the udder of a cow with a profound ulceration; in schleswig holstein; germany	Animal
skin sample	Animal
skin sample from patient	Animal
skin sampling	Animal
skin scrapings from the infected head	Animal
skin smear	Animal
skin swab	Animal
skin swab cheek	Animal
skin swab forehead	Animal
skin wing membrane	Animal
soft tick ornithodoros sonrai	Animal
soft tissue	Animal
soft tissue samples	Animal
spermoculture	Animal
spider	Animal
spinal fluid	Animal
spleen	Animal
spleen of spotted nose snapper (lutjanus guttatus)	Animal
spleen of wild mouse	Animal
spleen of yellowtail	Animal
spleen tissue from parrot (polytelis)	Animal
spleen; autopsy	Animal
spoon worm	Animal
spore of globus iranicum var. tenuihypharum	Animal
sputum	Animal
sputum (cystic fibrosis patient)	Animal
sputum bronchus	Animal
sputum culture of lung cancer patient	Animal
sputum for patient of pneumonia symptoms	Animal
sputum from a cystic fibrosis patient	Animal
sputum from cystic fibrosis patient	Animal
sputum from pediatric cystic fibrosis patient	Animal
sputum induced	Animal
sputum of a 35-year old male who had received a renal transplant	Animal
sputum of a patient suspected with respiratory tract infection	Animal
sputum of patient with tuberculosis-like disease	Animal
sputum sample	Animal
sputum sample from patient diagnosed with bronchiectasis	Animal
sputum sample from patient with suspected tb	Animal
sputum sample of a patient	Animal
sputum; patient with leukemia	Animal
squid	Animal
subcutaneous abscess in the udder of a sheep	Animal
swab from nostrils of a healthy rat	Animal
swab from the nasopharynx	Animal
swab of adult female 10 skin	Animal
swab of adult female 2 skin	Animal
swab of cloaca	Animal
swab of ear	Animal
swab of fur and skin	Animal
termite	Animal
termite nest	Animal
thumb	Animal
tilapia	Animal
toe	Animal
toe web space swab	Animal
tropical skin ulcer	Animal
trout gills	Animal
tube feet of a crown-of-thorns starfish	Animal
tuber	Animal
tubers	Animal
tubeworm trophosome	Animal
tumor tissue	Animal
tunicate	Animal
turban shell	Animal
udder	Animal
udder of holstein cow	Animal
uht-milk	Animal
ulva culture	Animal
umbilicus swab	Animal
urethra	Animal
vagin	Animal
vagina	Animal
vaginal discharge	Animal
vaginal metagenome	Animal
vaginal microbiome	Animal
vaginal mucus	Animal
vaginal sample	Animal
vaginal swab	Animal
vaginal swab of a 21-year-old frenchwoman with bacterial vaginosis	Animal
vaginal swab sample	Animal
vaginal swabs	Animal
vaginal/rectal	Animal
excretory tube; gonad	Animal
hair of a 22-year-old girl	Animal
hand abscess	Animal
hand laceration	Animal
hand wound	Animal
hanwoo vagina	Animal
honeybee metagenome	Animal
lung	Animal
lung abscess	Animal
lung biopsy	Animal
lung lesions of a dead ibex	Animal
lung of a calf with pneumonia	Animal
lung of aborted horse fetus	Animal
lung of harbor seal	Animal
lung swab	Animal
lung swab collected at necropsy	Animal
lung tissue swab	Animal
lung; trachea	Animal
lungs of cystic fibrosis patient c	Animal
worm cast	Animal
wound	Animal
wound secretion	Animal
wound secretions	Animal
wound swab	Animal
wound swab sample	Animal
wound tissue	Animal
wound; right hand	Animal
abcess	Animal
abdomen	Animal
abdomen of patient with peritoneal carcinomatosis	Animal
abdomens of 5 specimens	Animal
abdominal abscess	Animal
abdominal cerebrospinal fluid pseudocyst	Animal
abdominal fluid	Animal
abdominal swab of a patient with appendicitis accompanied with abscess formation	Animal
aborted bovine fetus; brain	Animal
aborted fetus	Animal
aborted piglet fetus	Animal
abscess	Animal
abscess on a sugar glider	Animal
abscess swab	Animal
accessory nidamental gland	Animal
accessory nidamental gland (ang)	Animal
tongue	Animal
animal	Animal
animal with tuberculosis arrested by chemotherapy	Animal
150 female adults	Animal
beak	Animal
blood	Animal
blood and other clinical sources	Animal
blood and spinal fluid	Animal
blood culture	Animal
blood culture of a man with septicemia	Animal
blood culture of a patient with infective endocarditis	Animal
blood from a renal care patient	Animal
blood from new born child with sepsis	Animal
blood of a 28-year-old man	Animal
blood of a naturally infected pig	Animal
blood of an infected pig	Animal
blood of japanese macaque (macaca fuscata)	Animal
blood of naturally infected dog	Animal
blood sample	Animal
blood stream of bacteremia patient	Animal
ear	Animal
ear exudate	Animal
ear infection	Animal
ear swab	Animal
periodontal pocket of stumptailed macaque (macaca arctoides)	Animal
peripheral blood	Animal
shellfish	Animal
shellfish beds in the pacific ocean	Animal
shellfish hatchery	Animal
shellfish nursery	Animal
a marine limpet	Animal
adult chinook salmon kidney	Animal
adult deep-sea mussel near hydrothermal vent	Animal
adult female tick from spheniscus humboldti nesting area	Animal
adult insect on sorghum bicolor	Animal
adult insect on urtica dioica	Animal
adult male and female insects	Animal
adult male and female mites from galls on leaves of green strawberry fragaria viridis	Animal
adult male liver of common vole with generalized brucella microti infection	Animal
aerial tumor	Animal
albatross chick carcass	Animal
beak swab	Animal
bearded dragon	Animal
beetle eggs	Animal
beetle larvae from highlands in the colombian andes	Animal
beetle malpighian tubules	Animal
bile	Animal
kidney	Animal
liver	Animal
liver abcess	Animal
liver of a diseased rainbow trout; o. mykiss	Animal
liver of diseased chicken	Animal
liver of rodent	Animal
liver of seal	Animal
liver tissue	Animal
young oyster spat in a bivalve hatchery	Animal
bacterial strain isolated from fresh salmon	Animal
body	Animal
body surface of a deep-sea fish	Animal
body surface of pyrosomatidae	Animal
body-site of sea polychaete	Animal
bos taurus	Animal
bovine farcy	Animal
bovine mastitis	Animal
bovine material	Animal
fat sand rat	Animal
florida freshwater fish farms	Animal
flounder gill	Animal
isolated from a chlamydomonas reinhadtii culture contaminated within the laboratory	Animal
isolated from a mussel; crenomytilus grayanus; and a scallop; patinopecten yessoensis; collected from the sea of japan	Animal
isolated from bluespotted cornetfish	Animal
isolated from fish farm	Animal
japanese eel; diseased	Animal
lymph node	Animal
lymph nodes	Animal
mouse	Animal
mouse lung	Animal
ocular surface	Animal
ocular surface of healthy person	Animal
ocular surface sample	Animal
ocular swab	Animal
sea cucumber larvae	Animal
sea urchin	Animal
seafish (tenualosa reevesii) from sea close to xiamen	Animal
single worm	Animal
snail	Animal
snail shell	Animal
snake	Animal
surface mucus layer	Animal
surface of a mussel	Animal
swine liver	Animal
swine waste lagoon	Animal
swinery waste	Animal
symbiodiniaceae culture	Animal
symbiodinium sp.	Animal
symbiont-bearing gill tissue	Animal
trachea	Animal
trachea from papua penguin chick	Animal
trachea of chick	Animal
trachea of healthy wild nestling black storks	Animal
tracheae	Animal
tracheal and air sac tissue	Animal
tracheal aspirate	Animal
tracheal sample	Animal
tracheal swab from cat-captured mouse	Animal
tracheal swab from stork nestling	Animal
upper respiratory tract	Animal
urethra of a patient with urethritis	Animal
urinary sample	Animal
urinary tract	Animal
urine	Animal
urine of a bull	Animal
urine sample	Animal
urine specimen	Animal
uropygial gland	Animal
uterus	Animal
uterus of a maiden mare	Animal
uterus swab of a cow with isolated from the uterus of a cow with endometritis	Animal
venom glands	Animal
whole insect macerate from a lab maintained population of field collected o. laevigatus	Animal
wild adult 1.3	Animal
wild adult 1.4	Animal
zooids of the marine tunicate lissoclinum patella animal l6 collected in the eastern fields region off the coast of papua new guinea	Animal
5-month-old boy with  pharyngeal diphtheria	Animal
a nose swab sample of swine origin	Animal
black-headed gull	Animal
brain	Animal
brain abscess	Animal
brain of a pig with meningitis	Animal
brain tissue	Animal
breast abscess	Animal
breast incision	Animal
bronchial aspirate of a 53-year old patient	Animal
bronchial aspiration	Animal
bronchial lavage	Animal
bronchial lavage fluid	Animal
bronchial lavage; 49-yr-old woman	Animal
bronchial wash	Animal
bronchial washing	Animal
broncho alveolar fluid	Animal
bronchoalveolar lavage	Animal
bronchoalveolar lavage fluid from lung cancer patient	Animal
bronchoscopy washings	Animal
broodstock gonads of great scallop (pecten maximus) maintained in a hatchery	Animal
buccal mucosa of child	Animal
ixodes spinipalpis	Animal
joints	Animal
juvenile liver	Animal
lab mouse blood	Animal
manila clam	Animal
41 year old male suffering from gastric malt lymphoma	Animal
50 whole ticks	Animal
9-10 years old white poplar stem	Animal
a blood culture of a 4-year old female patient	Animal
a dead ark clam	Animal
abies fraseri	Animal
amblyomma tick	Animal
ankle aspirate fluid from male patient	Animal
antarctic krill	Animal
aphid on abies fraseri	Animal
aphid on plantago asiatica	Animal
aphids on a populus fremontii tree	Animal
aphids on a salix gooddingii tree	Animal
aphids on pistacia tree	Animal
daphnia magna breeding	Animal
dead seal liver and kidney	Animal
decaying crab carapace; roscoff; france	Animal
decomposing penguin feathers	Animal
degrading whale carcass at 2891 m depth	Animal
disease lesion from mucosa and submucosa of the maxilla	Animal
diseased adult rainbow trout in oak spring hatchery	Animal
diseased fish	Animal
diseased grass grub larva	Animal
diseased larvae	Animal
diseased rainbow yearling	Animal
diseased red sea bream	Animal
diseased rice seeds and leaf sheaths	Animal
diseased shrimp	Animal
dori	Animal
ejaculate	Animal
european honey bee	Animal
fish	Animal
fish farm	Animal
fish metagenome	Animal
fishpond sediment	Animal
